date,environmental protection agency
2019-04-03,55
2019-04-04,19
2019-04-05,58
2019-04-06,21
2019-04-07,21
2019-04-08,46
2019-04-09,55
2019-04-10,64
2019-04-11,64
2019-04-12,48
2019-04-13,11
2019-04-14,32
2019-04-15,56
2019-04-16,46
2019-04-17,68
2019-04-18,70
2019-04-19,53
2019-04-20,11
2019-04-21,11
2019-04-22,79
2019-04-23,47
2019-04-24,37
2019-04-25,37
2019-04-26,19
2019-04-27,21
2019-04-28,10
2019-04-29,64
2019-04-30,37
2019-05-01,39
2019-05-02,46
2019-05-03,38
2019-05-04,21
2019-05-05,10
2019-05-06,63
2019-05-07,73
2019-05-08,74
2019-05-09,18
2019-05-10,68
2019-05-11,22
2019-05-12,11
2019-05-13,9
2019-05-14,73
2019-05-15,46
2019-05-16,46
2019-05-17,19
2019-05-18,0
2019-05-19,42
2019-05-20,45
2019-05-21,82
2019-05-22,36
2019-05-23,9
2019-05-24,57
2019-05-25,21
2019-05-26,0
2019-05-27,28
2019-05-28,45
2019-05-29,27
2019-05-30,37
2019-05-31,29
2019-06-01,11
2019-06-02,62
2019-06-03,27
2019-06-04,9
2019-06-05,37
2019-06-06,36
2019-06-07,19
2019-06-08,10
2019-06-09,21
2019-06-10,36
2019-06-11,9
2019-06-12,28
2019-06-13,73
2019-06-14,28
2019-06-15,21
2019-06-16,10
2019-06-17,9
2019-06-18,18
2019-06-19,36
2019-06-20,19
2019-06-21,29
2019-06-22,11
2019-06-23,0
2019-06-24,46
2019-06-25,18
2019-06-26,18
2019-06-27,45
2019-06-28,10
2019-06-29,11
2019-06-30,10
2019-07-01,9
2019-07-02,9
2019-07-03,9
2019-07-04,19
2019-07-05,20
2019-07-06,0
2019-07-07,21
2019-07-08,18
2019-07-09,46
2019-07-10,27
2019-07-11,36
2019-07-12,10
2019-07-13,11
2019-07-14,0
2019-07-15,46
2019-07-16,37
2019-07-17,37
2019-07-18,57
2019-07-19,50
2019-07-20,33
2019-07-21,33
2019-07-22,19
2019-07-23,47
2019-07-24,0
2019-07-25,10
2019-07-26,30
2019-07-27,11
2019-07-28,21
2019-07-29,0
2019-07-30,9
2019-07-31,47
2019-08-01,9
2019-08-02,39
2019-08-03,0
2019-08-04,32
2019-08-05,0
2019-08-06,0
2019-08-07,28
2019-08-08,9
2019-08-09,19
2019-08-10,0
2019-08-11,11
2019-08-12,9
2019-08-13,37
2019-08-14,18
2019-08-15,10
2019-08-16,19
2019-08-17,42
2019-08-18,11
2019-08-19,27
2019-08-20,27
2019-08-21,45
2019-08-22,46
2019-08-23,28
2019-08-24,21
2019-08-25,21
2019-08-26,28
2019-08-27,54
2019-08-28,54
2019-08-29,54
2019-08-30,18
2019-08-31,10
2019-09-01,21
2019-09-02,0
2019-09-03,18
2019-09-04,75
2019-09-05,28
2019-09-06,87
2019-09-07,22
2019-09-08,21
2019-09-09,9
2019-09-10,65
2019-09-11,9
2019-09-12,19
2019-09-13,87
2019-09-14,11
2019-09-15,0
2019-09-16,46
2019-09-17,64
2019-09-18,74
2019-09-19,38
2019-09-20,29
2019-09-21,22
2019-09-22,0
2019-09-23,27
2019-09-24,18
2019-09-25,55
2019-09-26,37
2019-09-27,48
2019-09-28,21
2019-09-29,11
2019-09-30,65
2019-10-01,74
2019-10-02,46
2019-10-03,19
2019-10-04,19
2019-10-05,11
2019-10-06,31
2019-10-07,37
2019-10-08,56
2019-10-09,19
2019-10-10,74
2019-10-11,47
2019-10-12,74
2019-10-13,11
2019-10-14,55
2019-10-15,100
2019-10-16,18
2019-10-17,65
2019-10-18,48
2019-10-19,0
2019-10-20,21
2019-10-21,54
2019-10-22,53
2019-10-23,36
2019-10-24,27
2019-10-25,10
2019-10-26,11
2019-10-27,10
2019-10-28,36
2019-10-29,18
2019-10-30,9
2019-10-31,9
2019-11-01,68
2019-11-02,21
2019-11-03,21
2019-11-04,55
2019-11-05,54
2019-11-06,27
2019-11-07,27
2019-11-08,19
2019-11-09,10
2019-11-10,41
2019-11-11,18
2019-11-12,36
2019-11-13,73
2019-11-14,0
2019-11-15,47
2019-11-16,21
2019-11-17,0
2019-11-18,55
2019-11-19,37
2019-11-20,37
2019-11-21,37
2019-11-22,38
2019-11-23,41
2019-11-24,0
2019-11-25,9
2019-11-26,18
2019-11-27,9
2019-11-28,9
2019-11-29,9
2019-11-30,31
2019-12-01,40
2019-12-02,35
2019-12-03,36
2019-12-04,46
2019-12-05,56
2019-12-06,38
2019-12-07,32
2019-12-08,11
2019-12-09,56
2019-12-10,37
2019-12-11,55
2019-12-12,55
2019-12-13,28
2019-12-14,42
2019-12-15,31
2019-12-16,36
2019-12-17,19
2019-12-18,0
2019-12-19,9
2019-12-20,30
2019-12-21,0
2019-12-22,32
2019-12-23,0
2019-12-24,32
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,21
2019-12-29,42
2019-12-30,29
2019-12-31,31
2020-01-01,0
2020-01-02,76
2020-01-03,28
2020-01-04,10
2020-01-05,10
2020-01-06,18
2020-01-07,9
2020-01-08,0
2020-01-09,54
2020-01-10,28
2020-01-11,20
2020-01-12,10
2020-01-13,58
2020-01-14,31
2020-01-15,52
2020-01-16,54
2020-01-17,27
2020-01-18,0
2020-01-19,20
2020-01-20,45
2020-01-21,45
2020-01-22,27
2020-01-23,45
2020-01-24,28
2020-01-25,10
2020-01-26,29
2020-01-27,17
2020-01-28,35
2020-01-29,52
2020-01-30,36
2020-01-31,9
2020-02-01,10
2020-02-02,10
2020-02-03,57
2020-02-04,26
2020-02-05,44
2020-02-06,45
2020-02-07,55
2020-02-08,10
2020-02-09,20
2020-02-10,60
2020-02-11,34
2020-02-12,61
2020-02-13,35
2020-02-14,27
2020-02-15,10
2020-02-16,29
2020-02-17,26
2020-02-18,52
2020-02-19,51
2020-02-20,43
2020-02-21,36
2020-02-22,29
2020-02-23,29
2020-02-24,61
2020-02-25,52
2020-02-26,41
2020-02-27,25
2020-02-28,0
2020-02-29,19
2020-03-01,0
2020-03-02,25
2020-03-03,50
2020-03-04,8
2020-03-05,68
2020-03-06,44
2020-03-07,29
2020-03-08,19
2020-03-09,25
2020-03-10,33
2020-03-11,58
2020-03-12,57
2020-03-13,25
2020-03-14,19
2020-03-15,19
2020-03-16,24
2020-03-17,41
2020-03-18,42
2020-03-19,42
2020-03-20,16
2020-03-21,9
2020-03-22,9
2020-03-23,46
2020-03-24,57
2020-03-25,25
2020-03-26,41
2020-03-27,40
2020-03-28,27
2020-03-29,18
2020-03-30,24
2020-03-31,62
2020-04-01,47
2020-04-02,47
2020-04-03,41
2020-04-04,18
2020-04-05,18
2020-04-06,16
2020-04-07,24
2020-04-08,40
2020-04-09,33
2020-04-10,26
2020-04-11,18
2020-04-12,0
2020-04-13,16
2020-04-14,24
2020-04-15,24
2020-04-16,32
2020-04-17,16
2020-04-18,18
2020-04-19,54
2020-04-20,54
2020-04-21,16
2020-04-22,24
2020-04-23,39
2020-04-24,32
2020-04-25,27
2020-04-26,27
2020-04-27,48
2020-04-28,47
2020-04-29,39
2020-04-30,30
2020-05-01,22
2020-05-02,22
2020-05-03,23
2020-05-04,59
2020-05-05,55
2020-05-06,49
2020-05-07,60
2020-05-08,31
2020-05-09,57
2020-05-10,11
2020-05-11,79
2020-05-12,10
2020-05-13,50
2020-05-14,50
2020-05-15,41
2020-05-16,45
2020-05-17,23
2020-05-18,10
2020-05-19,80
2020-05-20,30
2020-05-21,31
2020-05-22,41
2020-05-23,23
2020-05-24,24
2020-05-25,42
2020-05-26,40
2020-05-27,30
2020-05-28,30
2020-05-29,62
2020-05-30,0
2020-05-31,0
2020-06-01,30
2020-06-02,30
2020-06-03,29
2020-06-04,28
2020-06-05,10
2020-06-06,11
2020-06-07,12
2020-06-08,47
2020-06-09,47
2020-06-10,20
2020-06-11,20
2020-06-12,21
2020-06-13,0
2020-06-14,23
2020-06-15,20
2020-06-16,20
2020-06-17,40
2020-06-18,31
2020-06-19,10
2020-06-20,0
2020-06-21,12
2020-06-22,21
2020-06-23,31
2020-06-24,74
2020-06-25,11
2020-06-26,43
2020-06-27,0
2020-06-28,0
2020-06-29,31
2020-06-30,51
2020-07-01,10
2020-07-02,31
2020-07-03,11
2020-07-04,12
2020-07-05,0
2020-07-06,52
2020-07-07,21
2020-07-08,53
2020-07-09,21
2020-07-10,44
2020-07-11,36
2020-07-12,0
2020-07-13,21
2020-07-14,64
2020-07-15,32
2020-07-16,11
2020-07-17,23
2020-07-18,50
2020-07-19,0
2020-07-20,11
2020-07-21,75
2020-07-22,55
2020-07-23,65
2020-07-24,33
2020-07-25,0
2020-07-26,37
2020-07-27,21
2020-07-28,11
2020-07-29,22
2020-07-30,22
2020-07-31,46
2020-08-01,12
2020-08-02,0
2020-08-03,22
2020-08-04,21
2020-08-05,54
2020-08-06,43
2020-08-07,22
2020-08-08,24
2020-08-09,25
2020-08-10,42
2020-08-11,21
2020-08-12,21
2020-08-13,11
2020-08-14,11
2020-08-15,0
2020-08-16,0
2020-08-17,43
2020-08-18,31
2020-08-19,43
2020-08-20,22
2020-08-21,33
2020-08-22,36
2020-08-23,0
2020-08-24,0
2020-08-25,31
2020-08-26,21
2020-08-27,21
2020-08-28,22
2020-08-29,12
2020-08-30,48
2020-08-31,31
2020-09-01,61
2020-09-02,21
2020-09-03,52
2020-09-04,22
2020-09-05,36
2020-09-06,48
2020-09-07,43
2020-09-08,100
2020-09-09,41
2020-09-10,31
2020-09-11,32
2020-09-12,24
2020-09-13,12
2020-09-14,80
2020-09-15,71
2020-09-16,92
2020-09-17,21
2020-09-18,42
2020-09-19,35
2020-09-20,12
2020-09-21,40
2020-09-22,30
2020-09-23,30
2020-09-24,40
2020-09-25,54
2020-09-26,0
2020-09-27,36
2020-09-28,62
2020-09-29,32
2020-09-30,63
2020-10-01,31
2020-10-02,22
2020-10-03,12
2020-10-04,24
2020-10-05,31
2020-10-06,52
2020-10-07,21
2020-10-08,62
2020-10-09,34
2020-10-10,25
2020-10-11,25
2020-10-12,79
2020-10-13,11
2020-10-14,11
2020-10-15,55
2020-10-16,11
2020-10-17,37
2020-10-18,0
2020-10-19,11
2020-10-20,88
2020-10-21,11
2020-10-22,68
2020-10-23,12
2020-10-24,0
2020-10-25,12
2020-10-26,33
2020-10-27,55
2020-10-28,11
2020-10-29,44
2020-10-30,23
2020-10-31,0
2020-11-01,12
2020-11-02,22
2020-11-03,43
2020-11-04,19
2020-11-05,10
2020-11-06,21
2020-11-07,35
2020-11-08,36
2020-11-09,33
2020-11-10,21
2020-11-11,22
2020-11-12,65
2020-11-13,34
2020-11-14,0
2020-11-15,24
2020-11-16,55
2020-11-17,43
2020-11-18,22
2020-11-19,33
2020-11-20,11
2020-11-21,12
2020-11-22,37
2020-11-23,77
2020-11-24,0
2020-11-25,54
2020-11-26,0
2020-11-27,11
2020-11-28,0
2020-11-29,24
2020-11-30,53
2020-12-01,22
2020-12-02,21
2020-12-03,66
2020-12-04,22
2020-12-05,0
2020-12-06,73
2020-12-07,54
2020-12-08,43
2020-12-09,11
2020-12-10,22
2020-12-11,23
2020-12-12,0
2020-12-13,12
2020-12-14,32
2020-12-15,66
2020-12-16,33
2020-12-17,44
2020-12-18,35
2020-12-19,0
2020-12-20,0
2020-12-21,23
2020-12-22,47
2020-12-23,24
2020-12-24,0
2020-12-25,14
2020-12-26,13
2020-12-27,0
2020-12-28,11
2020-12-29,0
2020-12-30,24
2020-12-31,0
2021-01-01,0
2021-01-02,16
2021-01-03,32
2021-01-04,42
2021-01-05,57
2021-01-06,42
2021-01-07,85
2021-01-08,14
2021-01-09,0
2021-01-10,0
2021-01-11,68
2021-01-12,70
2021-01-13,28
2021-01-14,73
2021-01-15,29
2021-01-16,16
2021-01-17,0
2021-01-18,42
2021-01-19,14
2021-01-20,42
2021-01-21,0
2021-01-22,87
2021-01-23,78
2021-01-24,16
2021-01-25,55
2021-01-26,42
2021-01-27,14
2021-01-28,14
2021-01-29,29
2021-01-30,31
2021-01-31,0
2021-02-01,56
2021-02-02,98
2021-02-03,57
2021-02-04,14
2021-02-05,43
2021-02-06,31
2021-02-07,31
2021-02-08,70
2021-02-09,42
2021-02-10,42
2021-02-11,29
2021-02-12,45
2021-02-13,63
2021-02-14,16
2021-02-15,14
2021-02-16,14
2021-02-17,29
2021-02-18,100
2021-02-19,29
2021-02-20,16
2021-02-21,16
2021-02-22,0
2021-02-23,56
2021-02-24,42
2021-02-25,42
2021-02-26,72
2021-02-27,16
2021-02-28,47
2021-03-01,42
2021-03-02,14
2021-03-03,42
2021-03-04,83
2021-03-05,58
2021-03-06,32
2021-03-07,16
2021-03-08,14
2021-03-09,42
2021-03-10,42
2021-03-11,57
2021-03-12,29
2021-03-13,32
2021-03-14,15
2021-03-15,34
2021-03-16,24
2021-03-17,56
2021-03-18,56
2021-03-19,29
2021-03-20,32
2021-03-21,16
